[Script Info]
Title: Default Aegisub file
ScriptType: v4.00+
WrapStyle: 0
PlayResX: 640
PlayResY: 480
ScaledBorderAndShadow: yes
Video Aspect Ratio: 0
Video Zoom: 6
Video Position: 0

[V4+ Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding
Style: Default,MS UI Gothic,30,&H00FFFFFF,&H000000FF,&H00000000,&H00000000,0,0,0,0,100,100,0,0,1,1.5,1.5,2,10,10,10,0

[Events]
Format: Layer, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: 0,0:11:10.97,0:11:13.66,Default,,0000,0000,0000,,ぜひ覚えて帰ってもらいたい。\N
Dialogue: 0,0:11:13.66,0:11:17.70,Default,,0000,0000,0000,,ブ～　ブ～！　そんなのノーサンキュー！\N
Dialogue: 0,0:11:17.70,0:11:19.55,Default,,0000,0000,0000,,覚えらんねえし！\N
Dialogue: 0,0:11:19.55,0:11:21.57,Default,,0000,0000,0000,,アハハッ　いえてる！\N
Dialogue: 0,0:11:21.57,0:11:23.92,Default,,0000,0000,0000,,（イルカ）こらっ　ナルト！\N
Dialogue: 0,0:11:23.92,0:11:25.44,Default,,0000,0000,0000,,ゲッ…　イルカ先生！\N
Dialogue: 0,0:11:25.44,0:11:28.81,Default,,0000,0000,0000,,ハハハ…　もうよい　イルカ。\N
Dialogue: 0,0:11:28.81,0:11:31.67,Default,,0000,0000,0000,,こやつらの言うことも\Nもっともじゃ。\N
Dialogue: 0,0:11:31.67,0:11:34.03,Default,,0000,0000,0000,,アハッ…　す　すみません。\N
Dialogue: 0,0:11:34.03,0:11:38.41,Default,,0000,0000,0000,,そうじゃのう。\N今はまだ　すべてを覚えろとも→\N
Dialogue: 0,0:11:38.41,0:11:41.10,Default,,0000,0000,0000,,意味を理解しろとも言わん。\N
Dialogue: 0,0:11:41.10,0:11:43.63,Default,,0000,0000,0000,,ただ　キミらが大きくなったとき→\N
Dialogue: 0,0:11:43.63,0:11:48.84,Default,,0000,0000,0000,,あのじじいが　こんなこと\N言っていたと　思い出してほしい。\N
Dialogue: 0,0:11:48.84,0:11:53.39,Default,,0000,0000,0000,,キミらの将来　きっと\N役に立つ考えかたの一つ→\N
Dialogue: 0,0:11:53.39,0:11:56.39,Default,,0000,0000,0000,,火の意思についてじゃ。\N
Dialogue: 0,0:11:59.45,0:12:03.50,Default,,0000,0000,0000,,木ノ葉舞うところに　火は燃ゆる。\N
Dialogue: 0,0:12:03.50,0:12:07.36,Default,,0000,0000,0000,,火の影は　里を照らし→\N
Dialogue: 0,0:12:07.36,0:12:11.40,Default,,0000,0000,0000,,また　木ノ葉は芽吹く。\N
Dialogue: 0,0:12:11.40,0:12:16.46,Default,,0000,0000,0000,,（チヨ）くだらぬ年寄りどもが作った\Nこの忍の世界に→\N
Dialogue: 0,0:12:16.46,0:12:22.52,Default,,0000,0000,0000,,お前のようなヤツが\N現れてくれて　うれしい。\N
Dialogue: 0,0:12:22.52,0:12:27.05,Default,,0000,0000,0000,,かつて　わしのしてきたことは→\N
Dialogue: 0,0:12:27.05,0:12:28.41,Default,,0000,0000,0000,,間違いばかりじゃった。\N
Dialogue: 0,0:12:28.41,0:12:33.96,Default,,0000,0000,0000,,しかし　最後の最後になって→\N
